id,name,price,category
258642,טלוויזיה בגודל 43 דגם 43UN7340 SMART 4K LG LED אחריות 3 שנים מלאות עי ח.י,1665.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
259120,טלוויזיה חכמה UHD-4K 65 שיאומי Mi LED TV 4S 65 דגם L65M5-5ASP XIAOMI,2990.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
257323,טלויזיה חכמה שיאומי 55 דגם Xiaomi Mi TV L55M5-5ASP 4S - יבואן רשמי המילטון,1890.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
258827,טלוויזיה בגודל 65 דגם SAMSUNG QE65Q60T סמסונג LED דקה יוקרתית ללא מסגרת,4495.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
258991,טלוויזיה בגודל 65 דגם LED סמסונג SMART 4K QE65Q70T  SAMSUNG דקה יוקרתית ללא מסגרת,5305.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
259151,טלוויזיה בגודל 65 דגם SAMSUNG LED סמסונג UE65TU8000 דקה יוקרתית ללא מסגרת גימור שחור,3251.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
259849,טלוויזיה בגודל 50 דגם SAMSUMG LED סמסונג SMART 4KUE50TU7100 דקה יוקרתית Skinny מסגרת,1875.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
258646,טלוויזיה בגודל 55 דגם 55NANO80 SMART 4K LG LED  אחריות 3 שנים מלאות עי ח.י,2850.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
248354,טלוויזיה בגודל 60 דגם SMART 4K EL-60K4SM  ELCO LED אלקו,1690.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
257322,טלויזיה חכמה שיאומי 43 דגם Xiaomi Mi TV L43M5-5ASP 4S - יבואן רשמי המילטון,1490.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
254673,טלויזיה 43 הייסנס LED SMART TV FULL HD HISENSE 43B600IL,1159.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
255077,טלוויזיה בגודל 32 דגם 32LM630BP SMART  LG LED  אחריות 3 שנים מלאות עי ח.י,999.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
,,,
255093,טלוויזיה בגודל 40 דגם LED הייסנס SMART 40B6000IL Hisense,959.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
258933,טלוויזיה בגודל 77 דגם LED LG SMART OLED77CX  אחריות 3 שנים מלאות עי ח.י,17815.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
259602,טלוויזיה בגודל 43 דגם LED סמסונג UE43TU7100 SAMSUNG דקה יוקרתית Skinny מסגרת,1649.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
257100,טלוויזיה בגודל 50 דגם EL-50 LED ELCO,999.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
260194,טלוויזיה בגודל 55 דגם LED סמסונג QE55Q60T SMART 4K  SAMSUNG  דקה יוקרתית ללא מסגרת,3190.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
254745,טלוויזיה בגודל 32 דגם EL-32 HDR  HD ready ELCO LED,399.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
258936,"טלוויזיה בגודל 49 דגם LED LG SAMRT 4K 49NANO80,אחריות 3 שנים מלאות עי ח.י",2565.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
260182,טלוויזיה בגודל 50 דגם LED סמסונג QE50Q60T SAMSUNG,2829.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
258990,טלוויזיה בגודל 55 דגם LED סמסונג SMART 4K QE55Q70T  SAMSUNG דקה יוקרתית ללא מסגרת,3860.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
256980,טלוויזיה בגודל 85 דגם LED הייסנס 85B8500IL  hisense,8890.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
256324,טלוויזיה בגודל 49 דגם 49S6500 SMART TCL LED FHD עם חיווי שלט קולי,1485.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
258645,טלוויזיה בגודל 86 מסך ענק דגם 86UN8080 SMART 4K LG LED אחריות 3 שנים מלאות עי ח.י,11290.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
252233,טלוויזיה אלקו בגודל 40 EL40SM ELCO  SMART  LED,899.0000,TV סטריאו וצילום/מסכי LED ומקרנים/מסכי טלויזיה
